image,gt_count,loss_type,loss_full,loss_detach,forward_max_abs_diff,full_grad_norm,detach_grad_norm,indirect_grad_norm,indirect_over_full,cos_full_detach,indirect_object_abs_mean,indirect_bg_abs_mean,indirect_object_bg_ratio,gate_mean,gate_std,p2_rms,low_conf_fn,median_positive_conf
GF1_WFV1_E110.0_N17.9_20200703_L2A0004902374_10752_4608.png,0,classification,0.09488058090209961,0.09488058090209961,0.0,0.042523231357336044,0.04252314195036888,0.0017692713299766183,0.04160717032788211,0.9991343021392822,nan,1.778983346412133e-06,nan,0.4458377957344055,0.0813177153468132,0.6787339448928833,0,nan
GF1_WFV1_E110.0_N17.9_20200703_L2A0004902374_10752_7168.png,0,classification,0.03449273109436035,0.03449273109436035,0.0,0.015575358644127846,0.015577700920403004,0.0007078191847540438,0.0454448081053275,0.9989675879478455,nan,7.199637366284151e-07,nan,0.4485115706920624,0.09923002868890762,0.8569326400756836,0,nan
GF1_WFV1_E110.0_N17.9_20200703_L2A0004902374_11776_4096.png,0,classification,0.0256192684173584,0.0256192684173584,0.0,0.005013725254684687,0.005016481038182974,0.00037987958057783544,0.075767929290279,0.9971314072608948,nan,3.66784490779537e-07,nan,0.44575557112693787,0.08332084864377975,0.6359037160873413,0,nan
GF1_WFV1_E110.0_N17.9_20200703_L2A0004902374_11776_7680.png,0,classification,0.06348872184753418,0.06348872184753418,0.0,0.034716542810201645,0.034716006368398666,0.0015743569238111377,0.04534889699179678,0.9989718198776245,nan,1.5194571005849866e-06,nan,0.455281138420105,0.08197738975286484,0.6184037923812866,0,nan
GF1_WFV1_E110.0_N17.9_20200703_L2A0004902374_1536_4608.png,1,classification,1.353214144706726,1.353214144706726,0.0,0.049709636718034744,0.04970601201057434,0.0016881306655704975,0.033959827048143376,0.9994233846664429,1.7529758906675852e-06,1.7529766864754492e-06,0.9999995460248444,0.4555456042289734,0.10430240631103516,0.5353147983551025,0,0.5712803602218628
GF1_WFV1_E110.0_N17.9_20200703_L2A0004902374_3072_12288.png,1,classification,0.9094579815864563,0.9094579815864563,0.0,0.02606557123363018,0.026065131649374962,0.00026476779021322727,0.010157758977927943,0.9999484419822693,3.0009493912075413e-07,3.000950812293013e-07,0.999999526454927,0.458577036857605,0.08048007637262344,0.6198711395263672,0,0.540589451789856
GF1_WFV1_E110.0_N17.9_20200703_L2A0004902374_7168_7680.png,1,classification,1.142914891242981,1.142914891242981,0.0,0.04516926407814026,0.045166853815317154,0.0007373804110102355,0.01632482676128195,0.9998667240142822,8.369951842723822e-07,8.369959232368274e-07,0.9999991171230054,0.4414404034614563,0.09229164570569992,0.7517619132995605,0,0.5498398542404175
GF1_WFV1_E110.0_N17.9_20200703_L2A0004902374_8192_4096.png,1,classification,0.8545875549316406,0.8545875549316406,0.0,0.02837764099240303,0.02838248945772648,0.0008151234942488372,0.02872414569156942,0.9995875358581543,8.446174319942656e-07,8.446176025245222e-07,0.9999997980976763,0.45044657588005066,0.0814213752746582,0.6933800578117371,0,0.5519322752952576
GF1_WFV1_E110.0_N17.9_20200703_L2A0004902374_8192_8704.png,2,classification,3.455953598022461,3.455953598022461,0.0,0.23006924986839294,0.22999384999275208,0.010059317573904991,0.043722998965134395,0.9990439414978027,1.0334542821510695e-05,1.0334550097468309e-05,0.9999992959579715,0.4540984630584717,0.1015876829624176,0.5478490591049194,0,nan
GF1_WFV1_E110.0_N17.9_20200703_L2A0004902374_8704_7680.png,2,classification,1.052139163017273,1.052139163017273,0.0,0.03535471484065056,0.03534858301281929,0.0012429754715412855,0.03515727611277811,0.9993818998336792,1.3104919389661518e-06,1.3104919389661518e-06,1.0,0.4518178105354309,0.08598246425390244,0.6182712912559509,0,0.5438525676727295
GF1_WFV1_E110.3_N19.6_20200703_L2A0004902371_12288_13824.png,2,classification,0.8473839163780212,0.8473839163780212,0.0,0.02344169095158577,0.023434152826666832,0.00051674316637218,0.022043766699228824,0.9997571110725403,5.953211825726612e-07,5.953215236331744e-07,0.9999994270986355,0.46497493982315063,0.09902173280715942,0.5416830778121948,0,0.5351862609386444
GF1_WFV1_E110.3_N19.6_20200703_L2A0004902371_12288_2048.png,2,classification,1.1787028312683105,1.1787028312683105,0.0,0.06438031047582626,0.06437888741493225,0.0017664993647485971,0.027438503351298504,0.9996235370635986,1.97478880181734e-06,1.97478630070691e-06,1.0000012665220683,0.4419997036457062,0.08463869243860245,0.6541265249252319,1,0.3375798463821411
GF1_WFV1_E110.3_N19.6_20200703_L2A0004902371_13360_2560.png,1,classification,1.2931333780288696,1.2931333780288696,0.0,0.15603451430797577,0.15597853064537048,0.006260582711547613,0.040123063408847366,0.999194860458374,7.00789178154082e-06,7.007893145782873e-06,0.9999998053277891,0.44732651114463806,0.07997768372297287,0.6391900181770325,1,nan
GF1_WFV1_E110.3_N19.6_20200703_L2A0004902371_6144_2560.png,0,classification,0.1686418056488037,0.1686418056488037,0.0,0.08393167704343796,0.08393371105194092,0.002838473068550229,0.0338188532451366,0.9994281530380249,nan,3.1264939934771974e-06,nan,0.4379051923751831,0.10760044306516647,0.8593450784683228,0,nan
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_10240_9216.png,9,classification,1.3462387323379517,1.3462387323379517,0.0,0.05391509085893631,0.053899046033620834,0.002758939517661929,0.05117193486477527,0.9986903071403503,2.8403480882843724e-06,2.8403487704053987e-06,0.9999997598460325,0.4401853680610657,0.08631385862827301,0.7379864454269409,5,0.5216432809829712
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_10752_13312.png,2,classification,0.9855994582176208,0.9855994582176208,0.0,0.04057745262980461,0.04057120159268379,0.0005772606818936765,0.014226143941566008,0.9998987913131714,6.835214776401699e-07,6.835210797362379e-07,1.000000582138494,0.4559715986251831,0.10930874943733215,0.5055806040763855,1,0.4870305359363556
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_11776_12288.png,0,classification,0.024288177490234375,0.024288177490234375,0.0,0.00448137940838933,0.004488363862037659,0.00031061447225511074,0.06931224606281437,0.9976028203964233,nan,3.075059282764414e-07,nan,0.4499751925468445,0.13238951563835144,0.5729575753211975,0,nan
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_11776_9216.png,0,classification,0.38571858406066895,0.38571858406066895,0.0,0.13875339925289154,0.13874942064285278,0.007951190695166588,0.05730447497487806,0.9983581304550171,nan,8.069075192906894e-06,nan,0.4483068585395813,0.10209471732378006,0.5866076946258545,0,nan
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_12288_10752.png,0,classification,0.045815229415893555,0.045815229415893555,0.0,0.017357490956783295,0.017366137355566025,0.0007118718349374831,0.04101236962818547,0.9991593360900879,nan,6.923410182935186e-07,nan,0.4509817957878113,0.1285916268825531,0.5539482235908508,0,nan
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_12288_12288.png,0,classification,2.3044729232788086,2.3044729232788086,0.0,0.21914935111999512,0.21906571090221405,0.0067110261879861355,0.030623071223749673,0.9995310306549072,nan,7.2883995017036796e-06,nan,0.4500923752784729,0.12269669771194458,0.566713273525238,0,nan
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_12288_8192.png,0,classification,0.010009765625,0.010009765625,0.0,0.0032366502564400434,0.0032341494224965572,0.00013922661310061812,0.043015649535687546,0.9990743398666382,nan,1.545448213846612e-07,nan,0.4326896667480469,0.12474175542593002,0.9183772206306458,0,nan
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_12800_10752.png,0,classification,0.06260919570922852,0.06260919570922852,0.0,0.017179328948259354,0.017196035012602806,0.0012016325490549207,0.06994641948320529,0.9975565671920776,nan,1.2033406164846383e-06,nan,0.44672366976737976,0.11978352069854736,0.5927332043647766,0,nan
GF1_WFV1_E120.0_N36.3_20200423_L2A0004760887_13312_8192.png,5,classification,1.1383785009384155,1.1383785009384155,0.0,0.03243599832057953,0.03241501376032829,0.00115966668818146,0.03575245863315054,0.9993605613708496,1.2845125638705213e-06,1.2845123364968458e-06,1.0000001770116713,0.44567835330963135,0.09728214889764786,0.5916926860809326,1,0.36953820288181305
